award_id,award_name,award_content,award_amount,first_selection,descript_text
50,頭獎,現金獎-20萬,1,1,恭喜中獎
51,二獎,現金獎-10萬,2,2,恭喜中獎
52,三獎,iPhone Xs 256GB MAX,3,3,恭喜中獎
53,四獎,iPhone XR 128GB,2,2,恭喜中獎
54,四獎,Samsung Galaxy Note 9 (6G/128G),2,2,恭喜中獎
55,四獎,Sony Xperia XZ2 Premium,2,2,恭喜中獎
56,五獎,旅遊獎-自由行,13,13,恭喜中獎
57,六獎,Sony PS4 Pro主機- 1TB (極致黑),10,10,恭喜中獎
58,六獎,Apple Watch Series 4 #(40公厘錶帶/GPS),10,10,恭喜中獎
59,七獎,Garmin vivoactive 3 Music GPS#音樂智慧腕錶,20,20,恭喜中獎
60,七獎,米家掃地機器人,20,20,恭喜中獎
61,八獎,【OSIM】亮眼舒眼部按摩器,20,20,恭喜中獎
62,八獎,Fitbit Charge 3 智慧運動手環 特別版,25,25,恭喜中獎
63,九獎,PHILIPS飛利浦直立式蒸氣掛燙機#GC506,30,30,恭喜中獎
64,九獎,SodaStream SOURCE氣泡水機(黑),25,25,恭喜中獎
65,九獎,國際牌 無線手持直立電動吸塵器#(尊貴紅) MC-BU100JT-R,25,25,恭喜中獎
66,十獎,現金獎-3000元,100,100,恭喜中獎
